name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Wagner Prado,182.88,92.99,187.96,1.72,0.4,3.06,0.0,0.22,0.0
Marcin Prachnio,190.5,92.99,187.96,5.57,0.54,3.24,0.2,0.53,0.0
Devin Powell,182.88,70.31,185.42,2.88,0.41,3.67,0.0,0.0,0.6
Ruan Potts,187.96,112.04,190.5,0.85,0.37,5.92,0.16,0.33,2.3
Dylan Potter,187.96,102.06,195.58,3.1,0.48,5.78,0.0,0.33,1.1
Callan Potter,182.88,77.11,182.88,3.18,0.5,4.72,0.66,1.0,0.0
Ihor Potieria,190.5,83.91,190.5,4.44,0.5,4.96,0.18,0.66,0.0
Parker Porter,182.88,120.2,190.5,6.55,0.5,6.32,0.26,0.66,0.5
Felipe Portela,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Poppeck,187.96,92.99,,4.01,0.57,9.81,0.0,0.0,0.0
Grigory Popov,170.18,61.23,172.72,3.63,0.37,4.2,0.0,0.45,0.0
Santiago Ponzinibbio,182.88,77.11,185.42,4.8,0.41,4.61,0.32,0.71,0.0
Mike Polchlopek,193.04,129.27,,2.0,0.38,1.33,0.0,0.0,0.0
Brandon Polcare,,56.7,,0.43,0.5,0.0,0.0,0.0,0.0
Julia Polastri,157.48,52.16,160.02,5.57,0.54,5.31,0.8,0.61,0.6
John Polakowski,177.8,70.31,,2.6,0.26,2.83,0.0,0.87,0.7
Igor Pokrajac,182.88,92.99,187.96,2.25,0.45,4.26,0.29,0.51,0.2
Dustin Poirier,175.26,70.31,182.88,5.3,0.5,4.33,0.36,0.64,1.3
Ross Pointon,172.72,77.11,,2.62,0.23,2.77,1.0,0.0,0.0
Jamal Pogues,190.5,92.99,195.58,3.57,0.46,3.97,0.46,0.7,0.0
Dmitry Poberezhets,190.5,107.5,,0.0,0.0,0.0,0.0,0.0,0.0
Maki Pitolo,177.8,83.91,190.5,4.1,0.44,3.93,0.52,0.5,0.8
Gaetano Pirrello,170.18,61.23,165.1,0.99,0.55,2.44,0.0,0.3,0.0
Mario Pinto,195.58,120.2,200.66,3.67,0.71,5.29,0.0,1.0,0.0
Luana Pinheiro,157.48,52.16,157.48,3.42,0.4,4.03,0.33,0.69,0.2
Pingyuan Liu,167.64,61.23,182.88,2.36,0.33,2.99,0.2,0.56,1.0
Jesus Pinedo,177.8,70.31,,3.23,0.38,4.37,1.0,1.0,0.0
Daniel Pineda,170.18,65.77,175.26,2.85,0.49,3.26,0.24,0.54,1.5
Paddy Pimblett,177.8,70.31,185.42,4.94,0.53,3.75,0.25,0.52,2.1
Domingo Pilarte,182.88,61.23,185.42,1.31,0.47,2.96,0.42,0.54,0.8
Sean Pierson,182.88,77.11,193.04,3.84,0.39,3.73,0.18,0.66,0.4
