name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Ange Loosa,177.8,77.11,187.96,5.6,0.44,6.68,0.38,0.83,0.2
Loma Lookboonmee,154.94,52.16,154.94,4.1,0.57,2.48,0.5,0.72,0.1
Thomas Longacre,175.26,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Rocky Long,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Michael Lombardo,182.88,77.11,182.88,1.47,0.62,2.63,0.21,0.6,0.0
Hector Lombard,175.26,83.91,180.34,3.02,0.46,3.35,0.48,0.77,0.5
David Loiseau,182.88,83.91,193.04,1.59,0.44,3.64,0.42,0.36,0.1
Christian Lohsen,187.96,70.31,195.58,5.27,0.49,6.93,0.0,0.0,2.0
Sean Loeffler,190.5,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Loder,187.96,83.91,193.04,6.16,0.8,0.15,0.33,1.0,2.2
Dylan Lockard,175.26,65.77,182.88,1.31,0.53,3.31,0.4,0.28,1.2
Artem Lobov,175.26,65.77,165.1,3.52,0.41,4.82,0.25,0.52,0.0
John Lober,180.34,90.26,,0.0,0.0,0.0,0.0,0.0,0.0
Brian Lo-A-Njoe,170.18,70.31,,3.87,0.42,0.0,0.0,0.66,0.0
Abner Lloveras,180.34,70.31,,6.27,0.49,6.87,0.2,0.0,0.0
James Llontop,182.88,70.31,185.42,5.57,0.41,4.12,0.0,0.54,0.0
Wesley Little,193.04,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Dean Lister,185.42,83.91,190.5,1.26,0.35,1.89,0.15,0.5,1.1
Tainara Lisboa,170.18,61.23,170.18,2.05,0.5,1.4,0.4,0.7,0.5
Philipe Lins,187.96,92.99,198.12,3.8,0.49,3.59,0.33,1.0,0.0
Lucio Linhares,187.96,83.91,,0.99,0.22,3.47,0.5,0.5,1.9
Austin Lingo,177.8,65.77,177.8,3.86,0.37,4.86,0.66,0.75,0.0
John Lineker,160.02,61.23,170.18,5.36,0.4,4.27,0.58,0.67,0.6
Jake Lindsey,180.34,70.31,,3.44,0.52,4.01,0.33,0.5,0.0
Matt Lindland,182.88,83.91,187.96,2.62,0.5,1.56,0.48,0.6,1.3
Emiliano Linares,172.72,65.77,182.88,1.17,0.28,3.59,0.0,0.33,0.0
Miguel Linares,,,,6.51,0.5,8.84,0.0,0.0,0.0
Felipe Lima,167.64,65.77,172.72,3.5,0.45,2.32,0.42,0.83,1.1
Andre Lima,170.18,56.7,170.18,4.06,0.6,2.49,0.75,0.75,1.1
Mabelly Lima,157.48,61.23,,3.07,0.63,5.67,0.0,1.0,0.0
Douglas Lima,185.42,77.11,,1.92,0.36,2.84,1.0,0.46,0.0
Dhiego Lima,187.96,77.11,190.5,3.12,0.39,3.88,0.34,0.73,0.6
Hyun Gyu Lim,190.5,77.11,195.58,4.45,0.41,5.07,1.0,0.73,0.2
Jae Suk Lim,175.26,77.11,,2.43,0.5,4.05,1.0,1.0,0.0
Donnie Liles,175.26,77.11,,2.25,0.41,1.75,0.28,0.0,1.2
Chris Liguori,175.26,83.91,,0.29,0.33,1.44,0.0,0.5,0.0
Scott Lighty,187.96,92.99,,2.91,0.21,4.24,0.0,0.0,0.0
Zach Light,172.72,77.11,,0.81,0.33,1.9,1.0,0.0,0.0
Sam Liera,,,,0.82,0.6,7.36,0.0,0.66,0.0
Rodrigo Lidio,180.34,70.31,185.42,0.97,0.5,0.0,0.0,0.5,0.0
Chuck Liddell,187.96,92.99,193.04,2.97,0.35,2.71,0.75,0.81,0.0
Jess Liaudin,175.26,77.11,182.88,2.46,0.51,2.76,0.53,0.3,1.6
Liang Na,165.1,56.7,170.18,1.99,0.42,3.95,0.58,0.25,0.5
Li Yunfeng,172.72,61.23,172.72,0.53,0.29,2.55,0.0,0.5,0.0
Li Jingliang,182.88,77.11,180.34,4.46,0.42,3.95,0.41,0.6,0.0
Chi Lewis-Parry,205.74,110.22,,0.0,0.0,0.0,0.0,0.0,0.0
Malik Lewis,182.88,70.31,190.5,4.16,0.45,5.66,0.4,0.5,0.0
Brandon Lewis,162.56,61.23,177.8,2.17,0.29,3.63,0.15,0.2,0.0
Bevon Lewis,190.5,83.91,200.66,3.73,0.43,2.67,0.0,0.66,0.0
Derrick Lewis,190.5,117.93,200.66,2.48,0.5,2.48,0.26,0.52,0.0
John Lewis,182.88,70.31,,0.0,0.0,4.0,0.0,0.0,0.0
Natan Levy,175.26,70.31,180.34,3.7,0.52,3.19,0.58,0.41,0.5
Kyle Levinton,,,,0.0,0.0,0.0,0.0,0.0,0.0
David Levicki,195.58,124.74,,0.0,0.0,0.0,0.0,0.0,0.0
Marcus LeVesseur,175.26,70.31,177.8,2.55,0.64,3.7,0.36,0.83,0.6
Justin Levens,180.34,83.91,,1.24,0.47,3.15,0.5,0.33,5.1
Leah Letson,170.18,65.77,180.34,3.06,0.41,3.84,0.5,0.76,0.0
Valerie Letourneau,170.18,52.16,172.72,4.51,0.37,5.4,0.45,0.66,0.3
Frank Lester,180.34,77.11,,2.18,0.36,3.82,0.0,0.0,0.0
Brock Lesnar,190.5,120.2,205.74,3.53,0.72,2.11,0.55,0.6,0.5
Lukasz Les,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Michael Lerma,,,,0.0,0.0,6.47,0.0,0.0,0.0
Kimo Leopoldo,190.5,106.59,,0.76,0.83,2.12,1.0,0.0,2.3
Chad Leonhardt,182.88,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Leone,167.64,61.23,,1.94,0.53,2.52,0.18,0.0,0.0
Victoria Leonardo,165.1,56.7,162.56,3.22,0.38,4.81,0.27,0.71,0.0
Alberta Cerra Leon,172.72,107.95,,0.0,0.0,0.0,0.0,0.0,0.0
Nik Lentz,172.72,65.77,172.72,3.44,0.47,3.25,0.32,0.43,1.2
Jean Francois Lenogue,182.88,83.91,,1.13,0.34,0.27,0.0,0.33,0.0
Jesse Lennox,175.26,77.11,182.88,2.69,0.32,3.2,0.66,0.63,0.3
Christophe Leninger,182.88,90.72,,0.0,0.0,0.0,0.0,0.0,0.0
Giacomo Lemos,190.5,112.04,190.5,0.0,0.0,0.0,0.0,0.0,0.0
Amanda Lemos,162.56,52.16,165.1,2.89,0.54,3.46,0.62,0.59,0.7
Gabe Lemley,172.72,70.31,,0.82,0.35,6.03,0.0,0.0,0.0
Stefan Leko,187.96,97.52,,2.4,0.43,6.17,0.0,0.0,0.0
Thales Leites,185.42,83.91,198.12,2.13,0.4,2.99,0.27,0.3,1.1
Claudia Leite,160.02,61.23,162.56,1.27,0.47,1.73,0.25,0.0,1.0
Cheyden Leialoha,172.72,61.23,185.42,1.87,0.28,3.2,0.33,0.71,0.0
Sherron Leggett,172.72,70.31,,2.86,0.51,2.08,0.8,0.33,0.0
Ricky Legere Jr.,172.72,77.11,,1.07,0.41,1.53,0.41,0.0,0.0
ChangHo Lee,172.72,61.23,175.26,4.9,0.7,2.65,0.3,0.38,0.0
JungHyun Lee,165.1,56.7,165.1,4.27,0.39,6.2,0.0,0.64,0.0
JeongYeong Lee,177.8,65.77,185.42,2.84,0.52,2.81,0.66,0.76,0.5
Andrea Lee,167.64,56.7,175.26,4.62,0.45,3.91,0.52,0.53,0.6
Rocky Lee,175.26,65.77,,2.47,0.51,5.33,0.1,0.33,0.0
Kevin Lee,175.26,77.11,195.58,3.88,0.42,3.6,0.43,0.75,0.8
Vaughan Lee,167.64,56.7,167.64,3.47,0.47,2.07,0.33,0.72,1.0
Imani Lee,,,,0.0,0.0,0.94,0.0,0.0,0.0
Matt Lee,180.34,70.31,,0.0,0.0,9.68,0.0,0.0,0.0
Tommy Lee,170.18,65.77,,0.0,0.0,0.3,0.33,0.0,0.0
Tae Hyun Lee,198.12,133.81,,1.37,0.31,3.89,1.0,0.0,0.0
Eun Soo Lee,185.42,97.52,,0.0,0.0,3.05,0.0,0.5,0.0
Jackie Lee,,,,0.0,0.0,0.0,0.0,0.0,0.0
David Lee,177.8,70.31,,1.49,0.5,3.31,0.0,0.5,0.0
James Lee,180.34,92.99,,1.4,0.42,3.72,0.5,0.0,7.0
Justin Ledet,193.04,92.99,203.2,3.35,0.39,4.82,0.5,0.42,0.2
Stephen Ledbetter,175.26,65.77,,1.2,0.38,1.6,0.45,1.0,0.0
Mickael Lebout,180.34,70.31,185.42,2.6,0.34,2.98,0.0,0.6,0.0
Chris Leben,180.34,83.91,185.42,2.87,0.42,2.87,0.41,0.53,0.8
Jerome LeBanner,190.5,120.2,,0.92,0.35,1.03,0.0,0.5,0.0
Jordan Leavitt,175.26,70.31,180.34,2.55,0.61,1.84,0.25,0.3,1.1
Carlos Leal,180.34,77.11,187.96,9.65,0.5,7.73,0.25,0.9,0.0
Quang Le,167.64,61.23,177.8,3.02,0.35,5.52,0.23,1.0,0.0
Thanh Le,175.26,65.77,187.96,1.97,0.4,1.82,0.0,1.0,0.0
Cung Le,175.26,83.91,177.8,4.36,0.48,2.98,0.71,0.88,0.3
Mounir Lazzez,185.42,77.11,193.04,7.49,0.55,5.42,0.57,0.71,0.0
Zviad Lazishvili,167.64,61.23,175.26,4.2,0.39,6.13,0.0,0.0,0.0
Valmir Lazaro,182.88,70.31,185.42,4.87,0.37,4.09,0.4,0.96,0.0
Jimmy Lawson,182.88,120.2,195.58,0.07,0.08,1.6,0.0,0.0,0.0
Eric Lawson,182.88,83.91,,1.58,0.57,1.97,0.42,0.0,3.0
Ronnie Lawrence,172.72,61.23,172.72,2.78,0.56,1.75,0.77,0.45,0.2
Lance Lawrence,185.42,65.77,187.96,5.87,0.5,9.8,1.0,0.5,0.0
Justin Lawrence,172.72,65.77,170.18,3.84,0.35,2.83,0.28,0.73,0.0
Tom Lawlor,182.88,92.99,187.96,2.5,0.42,2.41,0.32,0.57,1.4
Robbie Lawler,180.34,77.11,187.96,3.85,0.47,4.67,0.64,0.65,0.0
Muhammed Lawal,182.88,92.99,198.12,3.79,0.52,1.61,0.75,0.87,0.0
Chatt Lavender,172.72,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Sandra Lavado,170.18,52.16,167.64,0.87,0.37,2.67,0.0,0.33,0.0
Dan Lauzon,177.8,70.31,,1.34,0.25,4.09,0.33,0.8,2.7
Joe Lauzon,177.8,70.31,180.34,2.84,0.39,5.39,0.45,0.54,2.0
Jenel Lausa,165.1,56.7,172.72,1.44,0.42,3.53,0.66,0.51,0.8
Phillip Latu,190.5,92.99,193.04,3.4,0.51,7.07,0.0,1.0,0.0
Sione Latu,182.88,97.52,,0.0,0.0,0.0,0.0,0.0,0.0
Ilir Latifi,177.8,104.33,185.42,2.05,0.45,2.93,0.35,1.0,0.3
Bobby Lashley,190.5,115.67,198.12,3.1,0.63,0.76,0.7,0.0,0.0
Ryan Larson,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Brock Larson,180.34,77.11,180.34,1.39,0.46,1.5,0.34,0.43,2.0
Jeremy Larsen,177.8,65.77,177.8,4.87,0.48,5.75,0.33,0.0,0.0
Lorenz Larkin,180.34,77.11,182.88,3.53,0.46,2.74,0.42,0.79,0.1
Icho Larenas,190.5,106.59,,0.17,0.15,2.5,0.0,0.14,0.0
TJ Laramie,167.64,65.77,167.64,1.49,0.5,2.64,0.33,0.4,0.0
Anthony Lapsley,175.26,77.11,,0.53,0.34,0.58,0.0,0.2,0.0
Chad Laprise,177.8,77.11,180.34,4.78,0.42,3.59,0.54,0.78,0.0
Taylor Lapilus,167.64,61.23,185.42,4.59,0.48,2.61,0.33,0.77,0.3
Lina Lansberg,170.18,61.23,165.1,2.69,0.55,3.87,0.27,0.47,0.1
Lionel Lanham,,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Lang,180.34,92.99,,1.13,0.5,1.41,0.6,0.0,4.2
Aaron Lanfranco,,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Austen Lane,198.12,111.13,203.2,2.98,0.5,2.41,0.28,0.5,0.0
Nate Landwehr,175.26,65.77,182.88,5.59,0.46,5.77,0.41,0.74,0.8
Jose Landi-Jons,180.34,77.11,,0.99,0.4,0.77,0.8,0.4,2.2
Jason Lambert,190.5,83.91,190.5,3.21,0.58,1.84,0.36,0.28,2.4
Ricardo Lamas,172.72,65.77,180.34,3.13,0.47,2.87,0.33,0.46,0.9
Sean Lally,182.88,77.11,,5.34,0.39,7.23,0.0,0.0,0.0
Todd Lally,170.18,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Tim Lajcik,185.42,102.06,,0.0,0.0,0.0,0.0,0.0,0.0
Yohan Lainesse,185.42,77.11,193.04,2.22,0.41,3.38,0.28,0.72,0.5
Tina Lahdemaki,157.48,52.16,,1.93,0.2,4.67,0.0,0.16,0.0
Noad Lahat,175.26,65.77,175.26,2.79,0.46,1.47,0.26,0.16,2.4
Ben Lagman,187.96,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Corinne Laframboise,162.56,56.7,165.1,3.16,0.68,1.89,1.0,0.33,0.0
Ryan LaFlare,185.42,77.11,187.96,2.89,0.4,1.86,0.44,0.58,0.2
Aspen Ladd,167.64,61.23,167.64,3.78,0.47,4.65,0.47,0.62,0.6
Kemran Lachinov,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Luan Lacerda,170.18,61.23,180.34,4.52,0.44,7.07,0.25,0.75,0.6
Daniel Lacerda,167.64,56.7,177.8,3.95,0.45,8.28,0.5,0.0,1.2
Jeremiah Labiano,177.8,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Josh LaBerge,177.8,65.77,,2.53,0.36,5.33,0.0,0.71,0.0
Achmed Labasanov,190.5,97.52,,0.75,0.39,1.1,1.0,0.0,0.8
Mike Kyle,193.04,92.99,195.58,3.93,0.51,3.35,0.62,0.5,0.8
Jarrod Kwitty,172.72,83.91,,0.53,0.5,4.4,0.5,0.0,2.0
Kaleo Kwan,170.18,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Lina Kvokov,175.26,61.23,,2.31,0.3,12.12,0.0,0.0,0.0
Vadym Kutsyi,182.88,77.11,180.34,5.53,0.48,4.94,0.4,0.0,0.0
Guram Kutateladze,180.34,70.31,182.88,3.95,0.45,3.95,0.2,0.79,0.0
Kyle Kurtz,,77.11,,1.31,0.36,2.95,0.2,0.0,2.5
Eldari Kurtanidze,167.64,106.59,,0.47,0.2,3.72,0.0,0.0,0.0
Tsuyoshi Kurihara,177.8,83.91,,0.0,0.0,12.0,0.0,0.0,0.0
Ramazan Kuramagomedov,185.42,77.11,185.42,11.67,0.67,9.13,0.14,0.0,0.0
Korey Kuppe,195.58,77.11,195.58,0.73,0.73,1.33,0.0,0.69,1.0
Leo Kuntz,177.8,70.31,,1.68,0.32,3.8,0.25,0.33,0.7
Kiichi Kunimoto,177.8,77.11,180.34,1.87,0.44,3.92,0.2,0.28,0.3
Keigo Kunihara,182.88,106.59,,0.17,0.1,1.99,0.4,1.0,2.5
Rizvan Kuniev,193.04,108.86,193.04,5.82,0.72,1.25,0.75,1.0,0.0
Aleksei Kunchenko,172.72,77.11,177.8,3.67,0.44,2.83,0.33,0.8,0.0
Sumit Kumar,165.1,56.7,167.64,2.8,0.24,4.67,0.3,0.6,0.0
Maiju Kujala,,61.23,,2.5,0.4,5.5,0.0,0.5,0.0
Anton Kuivanen,172.72,70.31,182.88,2.27,0.38,1.63,1.0,0.71,0.4
Michael Kuiper,182.88,83.91,185.42,3.28,0.54,3.62,0.55,0.79,0.0
John Kuhner,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Junya Kudo,,61.23,,1.85,0.71,4.44,0.0,0.0,0.0
Mariusz Ksiazkiewicz,190.5,83.91,190.5,0.93,0.45,3.4,1.0,0.0,2.0
Nikita Krylov,190.5,92.99,195.58,4.38,0.55,2.47,0.38,0.53,1.4
Jorgen Kruth,187.96,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Kaynan Kruschewsky,182.88,70.31,185.42,5.67,0.5,5.71,1.0,0.75,2.1
Rene Kronvold,172.72,77.11,,0.82,1.0,2.47,0.0,0.66,4.1
Pascal Krauss,185.42,77.11,,5.45,0.47,3.88,0.5,0.6,0.9
James Krause,187.96,77.11,185.42,4.79,0.49,4.11,0.18,0.59,0.9
Derrick Krantz,177.8,77.11,182.88,2.07,0.37,4.03,0.5,0.0,0.8
Steve Kozola,,70.31,,3.9,0.39,4.36,1.0,1.0,0.0
Karolina Kowalkiewicz,160.02,52.16,162.56,5.54,0.43,5.51,0.22,0.74,0.2
Marcus Kowal,,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Matt Kovacs,182.88,110.68,,1.47,0.22,4.87,0.25,0.0,0.0
Iouri Kotchkine,187.96,106.59,,0.67,0.38,4.92,0.0,0.25,0.0
Ilya Kotau,,77.11,,3.94,0.4,4.38,1.0,1.0,6.6
Naoyuki Kotani,172.72,70.31,167.64,1.02,0.31,2.89,0.16,0.46,0.8
Steven Koslow,170.18,56.7,175.26,0.77,0.37,3.73,0.55,0.0,1.1
Josh Koscheck,177.8,77.11,185.42,1.79,0.36,2.27,0.48,0.64,0.4
Andrey Koreshkov,182.88,77.11,,2.84,0.39,1.92,0.53,0.0,0.0
Bruno Korea,167.64,61.23,165.1,2.12,0.34,3.96,0.0,0.25,0.0
Roman Kopylov,182.88,83.91,190.5,4.96,0.5,4.86,0.42,0.87,0.0
Andrei Kopylov,187.96,120.2,,0.33,0.66,4.31,0.0,0.0,0.0
Cheick Kongo,193.04,108.86,208.28,3.33,0.56,1.28,0.56,0.52,0.2
Syuri Kondo,162.56,52.16,167.64,5.4,0.44,7.22,0.0,0.83,0.3
Yuki Kondo,180.34,83.01,,1.14,0.42,2.57,0.41,0.37,0.5
John Kolosci,180.34,83.91,,0.21,0.2,0.85,0.0,0.0,0.0
Kaloyan Kolev,187.96,92.99,185.42,1.12,0.45,4.49,0.6,0.0,0.0
Tsuyoshi Kohsaka,180.34,102.06,,1.88,0.38,4.41,0.2,0.33,0.4
Charlie Kohler,175.26,70.31,,0.81,0.33,4.31,0.0,0.0,4.0
Brad Kohler,175.26,99.79,,0.0,0.0,0.0,0.0,0.0,0.0
Shingo Kohara,167.64,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Sokun Koh,185.42,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Erik Koch,177.8,77.11,180.34,2.33,0.42,2.82,0.42,0.81,1.0
Kelly Kobold,167.64,61.23,,2.33,0.21,4.11,0.11,0.0,0.0
Isao Kobayashi,172.72,65.77,,1.01,0.33,1.66,1.0,1.0,0.0
Seokhyeon Ko,177.8,77.11,180.34,3.6,0.51,3.33,0.33,0.5,0.0
Josefine Knutsson,160.02,52.16,152.4,4.24,0.51,2.13,0.72,0.35,0.0
William Knight,177.8,92.99,185.42,2.62,0.56,3.3,0.4,0.48,0.4
Jason Knight,177.8,65.77,180.34,2.95,0.33,3.02,0.31,0.47,1.7
Kevin Knabjian,177.8,77.11,,0.0,0.0,15.56,0.0,1.0,0.0
Michael Knaap,187.96,99.79,,0.0,0.0,0.0,0.0,0.0,0.0
Drakkar Klose,175.26,70.31,177.8,4.33,0.55,3.54,0.27,0.69,0.0
Felix Klinkhammer,182.88,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Fatima Kline,167.64,52.16,170.18,2.21,0.47,1.68,1.0,0.5,0.0
Stefan Klever,,83.91,,0.82,0.5,3.84,0.0,0.0,0.0
Seth Kleinbeck,187.96,83.91,,2.55,0.33,2.42,0.25,0.9,0.0
Nick Klein,185.42,83.91,195.58,3.22,0.6,3.33,0.2,0.66,1.7
Ludovit Klein,170.18,70.31,182.88,3.81,0.54,3.22,0.51,0.91,0.0
Top Noi Kiwram,165.1,56.7,170.18,4.47,0.59,3.23,0.85,0.74,0.0
Satoru Kitaoka,167.64,69.85,,0.68,0.33,2.15,0.1,0.27,2.1
Koji Kitao,200.66,158.76,,0.0,0.0,0.0,0.0,0.0,0.0
Justine Kish,165.1,56.7,162.56,4.51,0.48,4.59,0.33,0.5,0.1
Yurij Kiseliov,172.72,83.91,,4.88,0.87,0.0,0.0,0.5,0.0
Kamuela Kirk,177.8,70.31,190.5,3.22,0.5,5.87,0.26,0.47,1.2
Yusaku Kinoshita,182.88,77.11,180.34,4.65,0.5,5.12,0.0,0.5,0.0
Kyle Kingsbury,193.04,92.99,200.66,2.97,0.4,3.81,0.41,0.52,0.0
Mike King,190.5,83.91,,4.44,0.58,1.29,0.25,0.4,3.5
Taiei Kin,180.34,83.91,,2.71,0.6,1.33,0.0,0.55,0.0
Dustin Kimura,170.18,61.23,180.34,1.33,0.21,3.82,0.37,0.5,2.2
Rob Kimmons,177.8,83.91,185.42,1.86,0.48,4.79,0.46,0.25,2.4
Jeremy Kimball,182.88,92.99,182.88,2.81,0.46,3.84,0.2,0.5,0.0
So Yul Kim,,52.16,,0.0,0.0,0.0,0.0,0.0,0.0
KyuSung Kim,180.34,56.7,175.26,1.53,0.53,0.87,0.0,0.33,0.0
SangWon Kim,175.26,65.77,175.26,3.18,0.57,3.73,0.25,0.72,0.0
Sangwook Kim,182.88,70.31,182.88,5.57,0.51,7.94,0.18,0.66,0.8
KyeungPyo Kim,175.26,70.31,180.34,6.77,0.46,6.32,0.4,1.0,0.0
HanSeul Kim,185.42,77.11,185.42,5.79,0.42,5.68,0.0,0.5,1.7
MinWoo Kim,172.72,61.23,182.88,0.0,0.0,0.0,0.0,0.0,0.0
Ji Yeon Kim,170.18,56.7,182.88,5.37,0.36,5.41,0.0,0.5,0.1
Jong Man Kim,170.18,63.05,,1.33,0.21,3.0,0.0,0.0,0.0
Min Soo Kim,185.42,115.67,,0.87,1.0,3.48,0.0,0.0,0.0
Jong Won Kim,170.18,63.05,,0.84,0.15,3.28,1.0,0.0,0.0
Jong Wang Kim,185.42,108.86,,0.0,0.0,0.0,0.0,0.0,0.0
Dae Won Kim,180.34,81.65,,1.75,0.32,2.51,0.42,0.0,0.0
Jin Oh Kim,175.26,92.99,,5.06,0.25,8.43,0.0,0.66,0.0
Dong Hyun Kim,187.96,77.11,193.04,2.12,0.49,1.89,0.43,0.71,0.6
Jacob Kilburn,175.26,65.77,182.88,2.56,0.33,6.78,0.05,0.2,0.5
Sanae Kikuta,175.26,90.72,,0.7,0.45,0.9,0.63,0.25,1.8
Katsunori Kikuno,172.72,65.77,167.64,2.64,0.4,2.47,0.75,0.76,0.8
Akira Kikuchi,172.72,70.31,,3.67,0.56,0.4,0.4,1.0,0.0
Pannie Kianzad,170.18,61.23,167.64,4.88,0.49,4.09,0.33,0.65,0.1
WonBin Ki,180.34,70.31,185.42,6.73,0.5,4.21,0.2,0.5,0.0
Aliaskhab Khizriev,175.26,83.91,187.96,6.01,0.64,4.38,0.6,1.0,3.8
Alfred Khashakyan,172.72,61.23,177.8,6.14,0.42,6.38,0.25,0.0,0.0
Sergei Kharitonov,182.88,111.13,,3.9,0.44,3.03,0.53,0.7,1.0
Sergey Khandozhko,185.42,77.11,187.96,3.41,0.41,2.37,0.28,0.61,0.0
Adam Khaliev,182.88,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Rustam Khabilov,172.72,70.31,185.42,1.98,0.34,2.16,0.41,0.61,0.1
Ron Keslar,,83.91,,0.0,0.0,2.05,0.0,1.0,7.7
Will Kerr,177.8,70.31,175.26,1.91,0.42,6.22,0.0,0.0,14.3
Mark Kerr,190.5,120.66,,0.28,0.41,0.89,0.77,0.0,0.4
Aurelijus Kerpe,,,,1.26,0.16,8.21,0.0,0.0,0.0
Maimaitituoheti Keremuaili,167.64,61.23,167.64,1.47,0.52,1.67,0.33,0.84,0.0
Casey Kenney,170.18,61.23,172.72,4.85,0.42,4.67,0.35,0.61,0.4
Waylon Kennell,182.88,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Kennedy,180.34,65.77,180.34,2.22,0.46,2.58,0.52,0.66,0.0
Steve Kennedy,180.34,77.11,,2.28,0.35,5.52,0.33,0.0,0.0
Tim Kennedy,180.34,83.91,187.96,2.78,0.47,1.84,0.35,0.7,0.7
Daniel Kelly,182.88,83.91,177.8,3.62,0.38,4.64,0.34,0.78,0.3
John Kelly,175.26,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Paul Kelly,175.26,70.31,177.8,3.22,0.37,2.61,0.6,0.3,1.5
Tony Kelley,175.26,61.23,177.8,5.55,0.47,4.85,0.0,0.52,1.4
Mayana Kellem,165.1,61.23,,1.94,0.22,2.9,0.0,0.0,0.0
Brian Kelleher,167.64,61.23,167.64,3.31,0.41,4.59,0.41,0.6,0.7
Chris Kelades,170.18,56.7,172.72,2.4,0.43,2.64,0.18,0.53,0.3
CJ Keith,182.88,70.31,,0.86,0.5,1.82,0.0,0.62,0.0
Ryan Keenan,177.8,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Julie Kedzie,165.1,61.23,,2.9,0.36,3.18,0.23,0.78,0.0
Toshiomi Kazama,170.18,61.23,175.26,1.72,0.53,3.89,0.12,0.66,0.6
Doug Kay,,,,0.0,0.0,0.0,0.0,0.0,0.0
Masuto Kawana,167.64,65.77,175.26,2.54,0.41,3.79,0.55,1.0,0.0
Ryo Kawamura,180.34,92.99,,0.6,0.16,3.93,0.0,0.06,0.0
Tatsuya Kawajiri,170.18,65.77,175.26,2.04,0.44,2.01,0.48,0.63,1.1
Canaan Kawaihae,182.88,65.77,180.34,2.83,0.51,4.59,0.0,1.0,0.0
Yusuke Kawaguchi,182.88,115.67,,2.87,0.47,3.93,0.0,0.72,0.0
Lone'er Kavanagh,162.56,56.7,170.18,3.62,0.43,3.45,0.0,1.0,0.0
Sarah Kaufman,165.1,61.23,167.64,6.65,0.46,4.0,0.57,0.81,0.0
Calvin Kattar,180.34,65.77,182.88,4.6,0.38,6.62,0.29,0.77,0.1
Brad Katona,167.64,61.23,162.56,4.84,0.52,4.73,0.34,0.61,0.0
Hisaki Kato,182.88,83.91,,2.8,0.48,1.72,1.0,0.0,0.0
Tetsuji Kato,,70.31,,1.2,0.29,2.1,0.57,0.8,0.5
Yusuke Kasuya,170.18,70.31,,2.17,0.44,4.34,0.33,0.0,0.0
Nadia Kassem,165.1,56.7,167.64,3.13,0.41,4.48,0.33,0.4,2.8
Jinnosuke Kashimura,170.18,70.31,180.34,0.21,0.5,7.37,1.0,0.0,6.3
Impa Kasanganay,180.34,77.11,190.5,4.96,0.48,3.66,0.58,0.66,0.2
Ernesta Kareckaite,175.26,56.7,180.34,7.38,0.42,6.09,0.66,0.82,0.0
Alex Karalexis,172.72,70.31,167.64,2.57,0.42,2.39,0.45,0.86,0.9
Georgi Karakhanyan,172.72,65.77,,4.49,0.39,5.0,0.5,0.33,1.9
Kai Kara-France,162.56,56.7,175.26,4.56,0.39,3.22,0.33,0.88,0.0
David Kaplan,170.18,70.31,,2.88,0.46,4.32,0.43,0.0,0.7
Manel Kape,165.1,56.7,172.72,5.04,0.55,4.05,0.3,0.81,0.3
Kyung Ho Kang,175.26,61.23,185.42,3.13,0.47,3.32,0.5,0.68,0.8
Denis Kang,180.34,83.91,195.58,2.27,0.35,1.65,0.65,0.38,1.2
Ken Kaneko,182.88,73.03,,0.0,0.0,0.94,0.0,0.0,3.5
Masanori Kanehara,170.18,61.23,170.18,1.88,0.49,1.63,0.5,0.63,0.9
Hiromitsu Kanehara,177.8,90.72,,0.76,0.22,4.39,0.0,0.4,0.4
Bharat Kandare,170.18,61.23,182.88,0.7,0.1,1.88,0.0,0.0,0.0
Koya Kanda,175.26,65.77,190.5,3.63,0.41,2.9,0.18,1.0,0.0
Martin Kampmann,182.88,77.11,182.88,3.22,0.42,3.28,0.41,0.78,2.0
