event_name,fighter_1,fighter_2,winner,method,fighter_1_kd,fighter_1_sig_str,f1_sig_head,f1_sig_body,f1_sig_leg,f1_sig_distance,f1_sig_clinch,f1_sig_ground,fighter_1_td,fighter_1_sub_att,fighter_1_rev,fighter_1_ctrl,fighter_2_kd,fighter_2_sig_str,f2_sig_head,f2_sig_body,f2_sig_leg,f2_sig_distance,f2_sig_clinch,f2_sig_ground,fighter_2_td,fighter_2_sub_att,fighter_2_rev,fighter_2_ctrl,round_num,time
UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,Remco Pardoel, Submission ,0,0.66,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.0,0,0.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,9:51
UFC 2: No Way Out,Jason DeLucia,Scott Baker,Jason DeLucia, Submission ,0,0.6,0.33,0.33,0.33,0.66,0.0,0.33,0.0,5,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0.0,1,6:41
UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,Royce Gracie, Submission ,0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0,0.0,0,0.42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,1,5:08
UFC 2: No Way Out,Patrick Smith,Scott Morris,Patrick Smith, KO/TKO ,0,0.76,0.92,0.07,0.0,0.0,0.07,0.92,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0:30
UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,Johnny Rhodes, Submission ,1,0.44,0.92,0.0,0.07,0.23,0.07,0.69,0.0,1,0,0.0,0,0.57,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,3:07
UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,Remco Pardoel, KO/TKO ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1:29
UFC 2: No Way Out,Royce Gracie,Jason DeLucia,Royce Gracie, Submission ,0,0.0,0.33,0.34,0.33,0.33,0.34,0.33,0.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,1:07
UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,Patrick Smith, Submission ,0,0.41,0.2,0.4,0.4,0.6,0.4,0.0,0.0,1,0,0.0,0,0.44,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,1:07
UFC 2: No Way Out,Royce Gracie,Remco Pardoel,Royce Gracie, Submission ,0,0.0,0.33,0.34,0.33,0.33,0.34,0.33,0.5,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1:31
UFC 2: No Way Out,Royce Gracie,Patrick Smith,Royce Gracie, KO/TKO ,0,1.0,0.75,0.0,0.25,0.0,0.25,0.75,0.5,0,0,0.0,0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,1,1:17
UFC 296: Edwards vs. Covington,Andre Fili,Lucas Almeida,Andre Fili, KO/TKO ,1,0.55,0.8,0.15,0.05,0.4,0.0,0.6,0.0,0,0,0.15,0,0.4,0.1,0.0,0.9,1.0,0.0,0.0,0.0,0,0,0.0,1,3:32
UFC 296: Edwards vs. Covington,Tagir Ulanbekov,Cody Durden,Tagir Ulanbekov, Submission ,1,0.58,0.79,0.16,0.04,0.62,0.2,0.16,1.0,5,1,6.03,0,0.74,0.68,0.09,0.21,0.75,0.09,0.15,0.0,0,0,0.36,2,4:25
UFC 296: Edwards vs. Covington,Casey O'Neill,Ariane da Silva,Ariane da Silva, Submission ,0,0.41,0.54,0.09,0.35,0.93,0.06,0.0,0.0,0,0,0.2,0,0.5,0.7,0.25,0.04,0.57,0.14,0.28,1.0,1,0,0.58,2,1:18
UFC 296: Edwards vs. Covington,Cody Garbrandt,Brian Kelleher,Cody Garbrandt, KO/TKO ,1,0.48,0.8,0.1,0.1,0.8,0.2,0.0,0.0,0,0,0.19,0,0.68,0.52,0.05,0.41,1.0,0.0,0.0,0.0,0,0,0.36,1,3:42
UFC 296: Edwards vs. Covington,Irene Aldana,Karol Rosa,Irene Aldana, Decision - Unanimous ,0,0.47,0.84,0.13,0.02,1.0,0.0,0.0,0.0,0,0,0.0,0,0.58,0.5,0.02,0.46,1.0,0.0,0.0,0.0,0,0,0.0,3,5:00
UFC 296: Edwards vs. Covington,Alonzo Menifield,Dustin Jacoby,Alonzo Menifield, Decision - Unanimous ,1,0.58,0.85,0.02,0.11,0.75,0.2,0.04,0.5,0,0,2.03,0,0.62,0.74,0.16,0.09,0.83,0.16,0.0,0.0,0,0,2.08,3,5:00
UFC 296: Edwards vs. Covington,Josh Emmett,Bryce Mitchell,Josh Emmett, KO/TKO ,1,0.2,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1:57
UFC 296: Edwards vs. Covington,Tony Ferguson,Paddy Pimblett,Paddy Pimblett, Decision - Unanimous ,0,0.59,0.56,0.37,0.06,0.82,0.0,0.17,0.0,0,0,0.0,1,0.64,0.68,0.12,0.18,0.62,0.0,0.37,0.25,0,0,8.53,3,5:00
UFC 296: Edwards vs. Covington,Shavkat Rakhmonov,Stephen Thompson,Shavkat Rakhmonov, Submission ,0,0.77,0.85,0.14,0.0,0.17,0.35,0.46,0.2,2,0,7.45,0,0.64,0.37,0.43,0.18,0.81,0.06,0.12,0.0,0,0,0.0,2,4:56
UFC 296: Edwards vs. Covington,Alexandre Pantoja,Brandon Royval,Alexandre Pantoja, Decision - Unanimous ,0,0.6,0.51,0.23,0.25,0.77,0.05,0.16,0.57,1,0,15.51,0,0.54,0.91,0.06,0.01,0.81,0.04,0.13,0.0,0,2,0.47,5,5:00
UFC 296: Edwards vs. Covington,Leon Edwards,Colby Covington,Leon Edwards, Decision - Unanimous ,0,0.52,0.36,0.24,0.38,0.98,0.0,0.01,0.66,2,1,1.27,0,0.34,0.45,0.15,0.38,1.0,0.0,0.0,0.2,0,0,5.04,5,5:00
UFC Fight Night: Song vs. Gutierrez,Tatsuro Taira,Carlos Hernandez,Tatsuro Taira, KO/TKO ,1,0.76,0.9,0.03,0.06,0.21,0.0,0.78,0.0,0,0,3.36,0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.53,2,0:55
UFC Fight Night: Song vs. Gutierrez,Luana Santos,Stephanie Egger,Luana Santos, Decision - Unanimous ,0,0.5,0.37,0.41,0.2,0.94,0.05,0.0,0.5,0,0,7.44,0,0.38,0.7,0.29,0.0,0.65,0.34,0.0,1.0,0,0,1.06,3,5:00
UFC Fight Night: Song vs. Gutierrez,Steve Garcia,Melquizael Costa,Steve Garcia, KO/TKO ,1,0.59,0.89,0.06,0.03,0.13,0.1,0.75,0.0,1,0,0.46,0,0.6,0.16,0.33,0.5,0.33,0.66,0.0,0.2,0,0,4.41,2,1:01
UFC Fight Night: Song vs. Gutierrez,HyunSung Park,Shannon Ross,HyunSung Park, KO/TKO ,2,0.4,0.66,0.22,0.12,0.72,0.12,0.16,0.0,0,0,3.21,0,0.4,0.53,0.19,0.27,0.97,0.02,0.0,0.0,0,0,0.0,2,3:59
UFC Fight Night: Song vs. Gutierrez,Song Kenan,Kevin Jousset,Kevin Jousset, Decision - Unanimous ,0,0.39,0.69,0.12,0.17,0.88,0.11,0.0,0.0,0,0,0.0,0,0.57,0.58,0.11,0.3,0.9,0.09,0.0,0.5,0,0,1.26,3,5:00
UFC Fight Night: Song vs. Gutierrez,JunYong Park,Andre Muniz,Andre Muniz, Decision - Split ,0,0.45,0.77,0.11,0.11,0.4,0.0,0.59,0.0,0,2,2.58,0,0.46,0.71,0.21,0.07,0.92,0.0,0.07,0.78,0,1,9.34,3,5:00
UFC Fight Night: Song vs. Gutierrez,Tim Elliott,Sumudaerji,Tim Elliott, Submission ,0,0.47,0.6,0.0,0.4,0.8,0.2,0.0,0.33,1,0,2.05,0,0.4,0.6,0.3,0.1,1.0,0.0,0.0,0.0,0,0,0.0,1,4:02
UFC Fight Night: Song vs. Gutierrez,Nasrat Haqparast,Jamie Mullarkey,Nasrat Haqparast, KO/TKO ,2,0.55,0.87,0.12,0.0,0.25,0.37,0.37,0.0,0,0,0.05,0,0.34,0.37,0.25,0.37,1.0,0.0,0.0,0.0,0,0,0.0,1,1:44
UFC Fight Night: Song vs. Gutierrez,Anthony Smith,Khalil Rountree Jr.,Khalil Rountree Jr., KO/TKO ,0,0.55,0.57,0.29,0.12,0.97,0.02,0.0,0.0,0,0,0.11,1,0.46,0.62,0.26,0.11,0.96,0.01,0.01,0.0,0,0,0.58,3,0:56
UFC Fight Night: Song vs. Gutierrez,Song Yadong,Chris Gutierrez,Song Yadong, Decision - Unanimous ,0,0.46,0.45,0.15,0.38,0.63,0.05,0.31,0.66,0,0,11.01,0,0.6,0.09,0.03,0.87,1.0,0.0,0.0,0.0,0,0,0.0,5,5:00
UFC Fight Night: Dariush vs. Tsarukyan,Drakkar Klose,Joe Solecki,Drakkar Klose, KO/TKO ,0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0,1,0.4,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0,0,0.53,1,1:41
UFC Fight Night: Dariush vs. Tsarukyan,Wellington Turman,Jared Gooden,Jared Gooden, Submission ,0,0.64,0.72,0.05,0.21,0.86,0.05,0.08,1.0,0,0,1.4,0,0.63,0.62,0.26,0.11,0.81,0.01,0.16,1.0,1,0,0.31,2,1:11
UFC Fight Night: Dariush vs. Tsarukyan,Miesha Tate,Julia Avila,Miesha Tate, Submission ,0,0.86,0.96,0.03,0.0,0.15,0.0,0.84,0.8,1,0,10.55,0,0.27,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,3,1:15
UFC Fight Night: Dariush vs. Tsarukyan,Rodolfo Bellato,Ihor Potieria,Rodolfo Bellato, KO/TKO ,0,0.61,0.87,0.11,0.01,0.22,0.13,0.63,0.25,0,0,2.49,1,0.57,0.79,0.12,0.08,0.52,0.16,0.31,0.0,0,0,1.41,2,4:17
UFC Fight Night: Dariush vs. Tsarukyan,Jalin Turner,King Green,Jalin Turner, KO/TKO ,1,0.55,0.78,0.06,0.15,0.54,0.0,0.45,0.0,0,0,0.12,0,0.57,0.33,0.2,0.46,0.93,0.06,0.0,0.0,0,0,0.02,1,2:49
UFC Fight Night: Dariush vs. Tsarukyan,Zachary Reese,Cody Brundage,Cody Brundage, KO/TKO ,0,0.8,0.75,0.0,0.25,0.25,0.25,0.5,0.0,1,0,0.0,0,0.75,0.77,0.11,0.11,0.44,0.0,0.55,1.0,0,0,1.25,1,1:49
UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,Joaquim Silva, Decision - Unanimous ,0,0.32,0.44,0.32,0.23,0.83,0.16,0.0,0.18,0,0,4.23,0,0.5,0.71,0.19,0.08,0.6,0.32,0.06,0.66,2,0,2.35,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,Rob Font,Deiveson Figueiredo,Deiveson Figueiredo, Decision - Unanimous ,0,0.48,0.84,0.1,0.04,0.95,0.04,0.0,0.0,0,0,0.22,0,0.6,0.77,0.15,0.06,0.73,0.13,0.13,0.57,0,0,4.02,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,Beneil Dariush,Arman Tsarukyan,Arman Tsarukyan, KO/TKO ,0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1,0.53,1.0,0.0,0.0,0.5,0.25,0.25,0.0,0,0,0.03,1,1:04
UFC Fight Night: Allen vs. Craig,Jeka Saragih,Lucas Alexander,Jeka Saragih, KO/TKO ,1,0.44,0.75,0.25,0.0,0.5,0.0,0.5,1.0,0,0,0.05,0,0.68,0.54,0.18,0.27,1.0,0.0,0.0,0.0,0,0,0.0,1,1:31
UFC Fight Night: Allen vs. Craig,Mick Parkin,Caio Machado,Mick Parkin, Decision - Unanimous ,0,0.39,0.84,0.05,0.1,0.87,0.07,0.05,0.3,0,1,6.23,0,0.57,0.53,0.31,0.14,0.89,0.07,0.02,0.0,0,0,0.2,3,5:00
UFC Fight Night: Allen vs. Craig,Chad Anheliger,Jose Johnson,Jose Johnson, Submission ,0,0.36,0.53,0.23,0.23,0.73,0.15,0.11,0.5,0,1,6.18,0,0.58,0.66,0.23,0.09,0.39,0.15,0.44,0.5,1,2,4.2,3,4:49
UFC Fight Night: Allen vs. Craig,Jonathan Pearce,Joanderson Brito,Joanderson Brito, Submission ,0,0.87,0.42,0.14,0.42,0.21,0.5,0.28,0.25,0,1,6.15,0,0.4,0.5,0.37,0.12,0.5,0.25,0.25,1.0,1,0,1.58,2,3:54
UFC Fight Night: Allen vs. Craig,Christian Leroy Duncan,Denis Tiuliulin,Christian Leroy Duncan, KO/TKO ,1,0.74,0.67,0.12,0.2,0.7,0.24,0.04,0.0,0,0,4.51,0,0.42,0.63,0.2,0.16,0.86,0.13,0.0,0.0,0,0,0.0,2,4:24
UFC Fight Night: Allen vs. Craig,Uros Medic,Myktybek Orolbai,Myktybek Orolbai, Submission ,0,0.51,0.71,0.28,0.0,0.35,0.57,0.07,0.0,0,0,0.02,0,0.4,0.75,0.0,0.25,0.37,0.12,0.5,0.7,1,0,7.26,2,4:12
UFC Fight Night: Allen vs. Craig,Payton Talbott,Nick Aguirre,Payton Talbott, Submission ,0,0.52,0.78,0.14,0.07,0.42,0.0,0.57,0.0,1,0,3.25,0,0.41,0.8,0.2,0.0,1.0,0.0,0.0,0.2,0,0,5.46,3,0:58
UFC Fight Night: Allen vs. Craig,Luana Pinheiro,Amanda Ribas,Amanda Ribas, KO/TKO ,0,0.47,0.65,0.2,0.14,0.92,0.07,0.0,0.16,0,0,1.11,1,0.38,0.65,0.09,0.25,0.93,0.03,0.03,0.0,0,0,0.3,3,3:53
