event_name,fighter_1,fighter_2,winner,method,fighter_1_kd,fighter_1_sig_str,f1_sig_head,f1_sig_body,f1_sig_leg,f1_sig_distance,f1_sig_clinch,f1_sig_ground,fighter_1_td,fighter_1_sub_att,fighter_1_rev,fighter_1_ctrl,fighter_2_kd,fighter_2_sig_str,f2_sig_head,f2_sig_body,f2_sig_leg,f2_sig_distance,f2_sig_clinch,f2_sig_ground,fighter_2_td,fighter_2_sub_att,fighter_2_rev,fighter_2_ctrl,round_num,time
UFC 136: Edgar vs Maynard 3,Jose Aldo,Kenny Florian,Jose Aldo, Decision - Unanimous ,0,0.44,0.74,0.09,0.15,0.72,0.15,0.11,0.0,0,0,5.51,0,0.31,0.27,0.32,0.4,0.62,0.37,0.0,0.05,0,0,6.07,5,5:00
UFC 136: Edgar vs Maynard 3,Frankie Edgar,Gray Maynard,Frankie Edgar, KO/TKO ,1,0.34,0.63,0.14,0.21,0.93,0.01,0.04,0.0,0,0,0.15,1,0.24,0.85,0.09,0.04,0.76,0.19,0.04,0.0,0,0,0.16,4,3:54
UFC Live: Cruz vs Johnson,Josh Neer,Keith Wisniewski,Josh Neer, TKO - Doctor's Stoppage ,0,0.58,0.78,0.16,0.05,0.53,0.46,0.0,0.0,1,0,0.42,0,0.49,0.53,0.46,0.0,0.43,0.56,0.0,0.0,0,0,3.4,2,5:00
UFC Live: Cruz vs Johnson,Shane Roller,TJ Grant,TJ Grant, Submission ,0,0.16,1.0,0.0,0.0,0.9,0.1,0.0,0.33,2,2,2.45,0,0.37,0.83,0.0,0.16,0.7,0.08,0.2,1.0,3,1,4.58,3,2:12
UFC Live: Cruz vs Johnson,Mike Easton,Byron Bloodworth,Mike Easton, KO/TKO ,1,0.36,0.35,0.19,0.45,0.48,0.38,0.12,0.0,0,0,0.58,0,0.22,0.52,0.11,0.35,0.94,0.05,0.0,0.0,0,0,0.44,2,4:52
UFC Live: Cruz vs Johnson,Michael Johnson,Paul Sass,Paul Sass, Submission ,0,0.3,0.75,0.0,0.25,0.87,0.0,0.12,0.0,0,0,0.37,0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0,0.05,1,3:00
UFC Live: Cruz vs Johnson,Yves Edwards,Rafaello Oliveira,Yves Edwards, KO/TKO ,2,0.38,0.69,0.23,0.07,0.5,0.21,0.28,0.0,0,0,0.35,0,0.18,0.63,0.18,0.18,0.95,0.04,0.0,0.0,0,0,0.43,2,2:44
UFC Live: Cruz vs Johnson,Matt Wiman,Mac Danzig,Matt Wiman, Decision - Unanimous ,0,0.65,0.62,0.2,0.17,0.47,0.47,0.05,0.28,1,1,4.05,0,0.61,0.81,0.18,0.0,0.66,0.31,0.01,0.33,1,0,4.57,3,5:00
UFC Live: Cruz vs Johnson,Anthony Johnson,Charlie Brenneman,Anthony Johnson, KO/TKO ,1,0.8,0.62,0.25,0.12,0.18,0.0,0.81,0.0,0,0,2.14,0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,2:49
UFC Live: Cruz vs Johnson,Pat Barry,Stefan Struve,Stefan Struve, Submission ,0,0.66,0.26,0.13,0.6,0.96,0.0,0.03,0.0,0,0,0.24,0,0.37,0.32,0.32,0.35,0.96,0.03,0.0,0.0,1,0,0.03,2,3:22
UFC Live: Cruz vs Johnson,Dominick Cruz,Demetrious Johnson,Dominick Cruz, Decision - Unanimous ,0,0.5,0.43,0.45,0.11,0.5,0.41,0.08,0.52,1,0,12.41,0,0.35,0.44,0.38,0.17,0.71,0.28,0.0,0.16,0,0,2.57,5,5:00
UFC 135: Jones vs Rampage,Takeya Mizugaki,Cole Escovedo,Takeya Mizugaki, KO/TKO ,2,0.54,0.71,0.18,0.1,0.65,0.3,0.04,1.0,0,0,2.35,0,0.56,0.34,0.55,0.1,0.51,0.48,0.0,0.0,0,0,0.4,2,4:30
UFC 135: Jones vs Rampage,Junior Assuncao,Eddie Yagin,Junior Assuncao, Decision - Unanimous ,0,0.7,0.63,0.17,0.19,0.26,0.03,0.69,0.37,0,0,7.06,0,0.38,0.9,0.0,0.1,0.9,0.1,0.0,0.0,2,0,0.15,3,5:00
UFC 135: Jones vs Rampage,Nick Ring,Tim Boetsch,Tim Boetsch, Decision - Unanimous ,0,0.35,0.44,0.44,0.1,0.51,0.24,0.24,0.0,0,0,3.08,0,0.54,0.67,0.21,0.1,0.43,0.36,0.19,0.66,2,0,3.05,3,5:00
UFC 135: Jones vs Rampage,Tony Ferguson,Aaron Riley,Tony Ferguson, TKO - Doctor's Stoppage ,0,0.37,0.7,0.19,0.09,0.93,0.06,0.0,0.0,0,0,0.02,0,0.22,0.27,0.36,0.36,1.0,0.0,0.0,0.0,0,0,0.0,1,5:00
UFC 135: Jones vs Rampage,Nate Diaz,Takanori Gomi,Nate Diaz, Submission ,1,0.49,0.94,0.05,0.0,0.94,0.05,0.0,0.0,3,0,0.23,0,0.17,0.25,0.75,0.0,0.75,0.0,0.25,0.0,0,0,0.37,1,4:27
UFC 135: Jones vs Rampage,Travis Browne,Rob Broughton,Travis Browne, Decision - Unanimous ,0,0.48,0.53,0.06,0.4,0.55,0.17,0.26,1.0,0,0,6.48,0,0.38,0.54,0.09,0.36,0.77,0.22,0.0,0.0,1,0,0.24,3,5:00
UFC 135: Jones vs Rampage,Ben Rothwell,Mark Hunt,Mark Hunt, Decision - Unanimous ,0,0.38,1.0,0.0,0.0,0.47,0.0,0.52,0.14,0,0,2.11,0,0.49,0.93,0.02,0.04,0.55,0.04,0.4,0.5,1,0,6.18,3,5:00
UFC 135: Jones vs Rampage,Matt Hughes,Josh Koscheck,Josh Koscheck, KO/TKO ,0,0.26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.5,0.88,0.11,0.0,0.38,0.19,0.42,0.0,0,0,0.17,1,4:59
UFC 135: Jones vs Rampage,Jon Jones,Quinton Jackson,Jon Jones, Submission ,0,0.52,0.29,0.21,0.49,0.68,0.19,0.11,0.33,2,0,3.32,0,0.36,0.37,0.31,0.31,0.81,0.18,0.0,0.0,0,0,0.16,4,1:14
UFC Fight Night: Shields vs Ellenberger,Robert Peralta,Mike Lullo,Robert Peralta, Decision - Unanimous ,0,0.58,0.25,0.3,0.45,0.76,0.23,0.0,1.0,0,0,0.38,0,0.39,0.13,0.17,0.68,0.66,0.33,0.0,0.15,0,0,4.47,3,5:00
UFC Fight Night: Shields vs Ellenberger,TJ Waldburger,Mike Stumpf,TJ Waldburger, Submission ,0,0.57,0.5,0.25,0.25,0.25,0.25,0.5,0.75,2,0,3.16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.24,1,3:52
UFC Fight Night: Shields vs Ellenberger,Clay Harvison,Seth Baczynski,Seth Baczynski, Submission ,0,0.44,0.16,0.41,0.41,0.66,0.33,0.0,0.0,0,0,0.0,1,0.38,0.6,0.24,0.14,0.34,0.46,0.19,0.0,1,0,2.32,2,1:12
UFC Fight Night: Shields vs Ellenberger,Ken Stone,Donny Walker,Ken Stone, Submission ,0,0.58,0.14,0.57,0.28,0.42,0.42,0.14,1.0,1,0,2.1,0,0.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,2:40
UFC Fight Night: Shields vs Ellenberger,Matthew Riddle,Lance Benoist,Lance Benoist, Decision - Unanimous ,0,0.5,0.38,0.57,0.03,0.03,0.3,0.65,1.0,0,0,6.57,0,0.59,0.46,0.35,0.17,0.3,0.23,0.46,0.33,0,1,4.54,3,5:00
UFC Fight Night: Shields vs Ellenberger,Evan Dunham,Shamar Bailey,Evan Dunham, Decision - Unanimous ,0,0.26,0.94,0.03,0.02,0.97,0.02,0.0,0.0,1,0,0.12,0,0.16,0.54,0.14,0.31,0.94,0.05,0.0,0.0,0,0,0.12,3,5:00
UFC Fight Night: Shields vs Ellenberger,Cody McKenzie,Vagner Rocha,Vagner Rocha, Submission ,0,0.34,0.66,0.13,0.2,0.8,0.2,0.0,0.0,1,0,0.32,0,0.37,0.77,0.05,0.16,0.5,0.0,0.5,1.0,4,0,5.41,2,3:49
UFC Fight Night: Shields vs Ellenberger,Alan Belcher,Jason MacDonald,Alan Belcher, KO/TKO ,0,0.64,0.96,0.04,0.0,0.0,0.04,0.96,0.0,0,0,2.57,0,0.28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.25,1,3:48
UFC Fight Night: Shields vs Ellenberger,Jonathan Brookins,Erik Koch,Erik Koch, Decision - Unanimous ,0,0.38,0.47,0.39,0.13,0.17,0.82,0.0,0.05,0,0,8.39,0,0.36,0.57,0.15,0.27,0.6,0.4,0.0,0.0,0,0,0.34,3,5:00
UFC Fight Night: Shields vs Ellenberger,Court McGee,Dongi Yang,Court McGee, Decision - Unanimous ,0,0.3,0.58,0.09,0.32,0.85,0.08,0.06,0.28,1,0,0.57,1,0.37,0.7,0.12,0.18,0.98,0.02,0.0,0.5,0,0,0.2,3,5:00
UFC Fight Night: Shields vs Ellenberger,Jake Shields,Jake Ellenberger,Jake Ellenberger, KO/TKO ,0,0.07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.07,1,0.56,0.77,0.11,0.11,0.22,0.22,0.55,0.0,0,0,0.04,1,0:53
UFC 134: Silva vs Okami,Iuri Alcantara,Felipe Arantes,Iuri Alcantara, Decision - Unanimous ,0,0.42,0.54,0.4,0.04,0.59,0.13,0.27,1.0,0,0,7.14,0,0.61,0.48,0.24,0.27,0.68,0.1,0.2,0.0,0,1,2.15,3,5:00
UFC 134: Silva vs Okami,Erick Silva,Luis Ramos,Erick Silva, KO/TKO ,1,0.44,1.0,0.0,0.0,0.25,0.0,0.75,0.0,0,0,0.05,0,0.57,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,0:40
UFC 134: Silva vs Okami,Raphael Assuncao,Johnny Eduardo,Raphael Assuncao, Decision - Unanimous ,0,0.52,0.6,0.13,0.26,0.58,0.2,0.2,0.37,0,0,4.55,0,0.32,0.53,0.25,0.21,0.92,0.07,0.0,0.0,1,0,0.04,3,5:00
UFC 134: Silva vs Okami,Paulo Thiago,David Mitchell,Paulo Thiago, Decision - Unanimous ,0,0.27,0.68,0.15,0.15,0.89,0.0,0.1,1.0,1,0,4.55,0,0.19,0.6,0.04,0.34,0.95,0.0,0.04,0.0,0,0,0.37,3,5:00
UFC 134: Silva vs Okami,Rousimar Palhares,Dan Miller,Rousimar Palhares, Decision - Unanimous ,1,0.6,0.67,0.1,0.22,0.68,0.05,0.25,1.0,0,1,5.23,1,0.43,0.88,0.07,0.04,1.0,0.0,0.0,0.0,0,1,0.38,3,5:00
UFC 134: Silva vs Okami,Thiago Tavares,Spencer Fisher,Thiago Tavares, KO/TKO ,0,0.38,0.8,0.2,0.0,0.4,0.0,0.6,0.42,0,0,6.43,0,0.33,0.33,0.33,0.33,0.66,0.33,0.0,0.0,0,0,0.01,2,2:51
UFC 134: Silva vs Okami,Luiz Cane,Stanislav Nedkov,Stanislav Nedkov, KO/TKO ,0,0.32,0.46,0.13,0.4,1.0,0.0,0.0,0.0,0,0,0.0,1,0.56,1.0,0.0,0.0,0.62,0.13,0.24,0.0,0,0,0.06,1,4:13
UFC 134: Silva vs Okami,Antonio Rodrigo Nogueira,Brendan Schaub,Antonio Rodrigo Nogueira, KO/TKO ,1,0.42,0.8,0.2,0.0,0.73,0.2,0.06,0.0,0,0,0.17,0,0.24,0.63,0.27,0.09,0.72,0.27,0.0,0.0,0,0,0.2,1,3:09
UFC 134: Silva vs Okami,Ross Pearson,Edson Barboza,Edson Barboza, Decision - Split ,0,0.32,0.78,0.11,0.1,0.98,0.01,0.0,0.0,0,0,0.39,1,0.28,0.52,0.4,0.07,0.89,0.1,0.0,0.0,0,0,0.01,3,5:00
UFC 134: Silva vs Okami,Mauricio Rua,Forrest Griffin,Mauricio Rua, KO/TKO ,1,0.55,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0.07,0,0.15,0.33,0.0,0.66,1.0,0.0,0.0,0.0,0,0,0.0,1,1:53
UFC 134: Silva vs Okami,Anderson Silva,Yushin Okami,Anderson Silva, KO/TKO ,2,0.7,0.67,0.25,0.06,0.48,0.18,0.32,0.0,0,0,0.33,0,0.37,0.68,0.31,0.0,0.62,0.37,0.0,0.0,0,0,1.51,2,2:04
UFC Live: Hardy vs Lytle,Jacob Volkmann,Danny Castillo,Jacob Volkmann, Decision - Unanimous ,0,0.37,0.66,0.16,0.16,0.5,0.0,0.5,0.6,6,0,7.47,0,0.73,0.09,0.4,0.5,0.31,0.13,0.54,0.25,0,1,3.06,3,5:00
UFC Live: Hardy vs Lytle,Cole Miller,TJ O'Brien,Cole Miller, Submission ,1,0.42,0.53,0.03,0.43,0.71,0.0,0.28,0.0,2,0,0.49,0,0.45,0.39,0.14,0.46,1.0,0.0,0.0,0.0,0,0,0.07,2,2:38
UFC Live: Hardy vs Lytle,Jimy Hettes,Alex Caceres,Jimy Hettes, Submission ,0,0.28,1.0,0.0,0.0,0.0,0.0,1.0,0.55,2,1,4.31,0,0.52,0.61,0.3,0.07,0.23,0.23,0.53,0.0,0,2,2.11,2,3:12
UFC Live: Hardy vs Lytle,Ronny Markes,Karlos Vemola,Ronny Markes, Decision - Unanimous ,0,0.76,0.25,0.42,0.32,0.22,0.57,0.2,1.0,0,0,12.58,0,0.33,0.75,0.25,0.0,1.0,0.0,0.0,0.0,1,0,0.36,3,5:00
UFC Live: Hardy vs Lytle,Ed Herman,Kyle Noke,Ed Herman, Submission ,0,0.33,1.0,0.0,0.0,0.5,0.0,0.5,1.0,3,0,0.12,0,0.92,0.5,0.41,0.08,0.25,0.0,0.75,0.33,0,0,3.25,1,4:15
UFC Live: Hardy vs Lytle,Joseph Benavidez,Eddie Wineland,Joseph Benavidez, Decision - Unanimous ,0,0.45,0.42,0.24,0.33,0.83,0.15,0.01,0.0,0,0,0.09,0,0.33,0.5,0.37,0.12,0.87,0.12,0.0,0.0,0,0,0.2,3,5:00
UFC Live: Hardy vs Lytle,CB Dollaway,Jared Hamman,Jared Hamman, KO/TKO ,0,0.47,0.73,0.21,0.05,0.73,0.0,0.26,0.42,1,1,2.55,0,0.46,0.77,0.16,0.05,0.45,0.0,0.54,0.0,0,0,3.39,2,3:38
UFC Live: Hardy vs Lytle,Amir Sadollah,Duane Ludwig,Duane Ludwig, Decision - Unanimous ,0,0.37,0.47,0.21,0.31,0.92,0.07,0.0,0.0,0,0,0.59,0,0.37,0.78,0.17,0.04,0.82,0.16,0.0,0.5,0,0,1.39,3,5:00
UFC Live: Hardy vs Lytle,Donald Cerrone,Charles Oliveira,Donald Cerrone, KO/TKO ,0,0.5,0.73,0.06,0.2,0.46,0.03,0.5,0.0,0,0,0.12,0,0.34,0.5,0.3,0.2,1.0,0.0,0.0,0.0,0,0,0.0,1,3:01
UFC Live: Hardy vs Lytle,Jim Miller,Benson Henderson,Benson Henderson, Decision - Unanimous ,0,0.31,0.71,0.21,0.07,0.71,0.21,0.07,0.0,6,0,0.03,0,0.49,0.61,0.29,0.09,0.3,0.1,0.58,1.0,2,0,10.22,3,5:00
UFC Live: Hardy vs Lytle,Dan Hardy,Chris Lytle,Chris Lytle, Submission ,0,0.25,0.86,0.08,0.04,0.93,0.06,0.0,0.5,0,0,0.07,0,0.46,0.63,0.35,0.0,0.93,0.06,0.0,0.0,1,1,0.2,3,4:16
UFC 133: Evans vs Ortiz 2,Mike Brown,Nam Phan,Mike Brown, Decision - Unanimous ,0,0.48,0.8,0.11,0.08,0.41,0.1,0.48,0.27,0,0,8.37,0,0.31,0.68,0.28,0.02,1.0,0.0,0.0,0.0,0,0,0.0,3,5:00
UFC 133: Evans vs Ortiz 2,Johny Hendricks,Mike Pierce,Johny Hendricks, Decision - Split ,0,0.44,0.57,0.27,0.14,0.44,0.55,0.0,0.16,0,0,1.52,0,0.37,0.67,0.24,0.08,0.35,0.56,0.08,0.25,0,0,3.1,3,5:00
UFC 133: Evans vs Ortiz 2,Ivan Menjivar,Nick Pace,Ivan Menjivar, Decision - Unanimous ,0,0.33,0.4,0.24,0.34,0.91,0.08,0.0,0.0,0,0,0.01,0,0.26,0.74,0.09,0.16,0.9,0.06,0.03,0.5,1,0,3.04,3,5:00
UFC 133: Evans vs Ortiz 2,Chad Mendes,Rani Yahya,Chad Mendes, Decision - Unanimous ,0,0.48,0.57,0.08,0.34,0.68,0.02,0.28,1.0,0,0,4.44,0,0.17,0.53,0.2,0.26,1.0,0.0,0.0,0.0,0,0,0.0,3,5:00
UFC 133: Evans vs Ortiz 2,Matt Hamill,Alexander Gustafsson,Alexander Gustafsson, KO/TKO ,0,0.38,0.92,0.07,0.0,0.92,0.07,0.0,0.0,0,0,0.0,1,0.37,0.81,0.1,0.08,0.51,0.13,0.35,0.0,0,0,0.22,2,3:34
UFC 133: Evans vs Ortiz 2,Rory MacDonald,Mike Pyle,Rory MacDonald, KO/TKO ,0,0.64,0.87,0.0,0.12,0.16,0.04,0.79,0.0,2,0,1.49,0,0.17,0.33,0.0,0.66,0.33,0.66,0.0,0.5,0,0,1.01,1,3:54
UFC 133: Evans vs Ortiz 2,Jorge Rivera,Constantinos Philippou,Constantinos Philippou, Decision - Split ,0,0.35,0.6,0.24,0.16,0.44,0.28,0.28,0.5,0,1,5.06,1,0.39,0.82,0.14,0.02,0.34,0.25,0.4,0.66,1,1,5.35,3,5:00
UFC 133: Evans vs Ortiz 2,Dennis Hallman,Brian Ebersole,Brian Ebersole, KO/TKO ,0,0.0,0.33,0.34,0.33,0.33,0.34,0.33,1.0,1,0,2.16,0,0.79,0.94,0.05,0.0,0.0,0.0,1.0,0.0,0,1,2.07,1,4:28
UFC 133: Evans vs Ortiz 2,Vitor Belfort,Yoshihiro Akiyama,Vitor Belfort, KO/TKO ,2,0.48,0.91,0.0,0.08,0.25,0.25,0.5,0.0,0,0,0.09,0,0.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1:52
UFC 133: Evans vs Ortiz 2,Rashad Evans,Tito Ortiz,Rashad Evans, KO/TKO ,0,0.49,0.87,0.1,0.02,0.16,0.25,0.58,1.0,0,0,5.05,0,0.18,0.8,0.2,0.0,0.2,0.8,0.0,1.0,1,0,1.04,2,4:48
UFC 132: Cruz vs Faber,Anthony Njokuani,Andre Winner,Anthony Njokuani, Decision - Unanimous ,0,0.54,0.52,0.26,0.2,0.64,0.35,0.0,0.66,0,0,1.06,0,0.13,0.53,0.4,0.06,0.66,0.33,0.0,0.0,0,0,0.25,3,5:00
UFC 132: Cruz vs Faber,Brad Tavares,Aaron Simpson,Aaron Simpson, Decision - Unanimous ,0,0.39,0.38,0.38,0.23,0.69,0.3,0.0,0.25,0,0,0.58,0,0.65,0.3,0.16,0.53,0.18,0.74,0.06,0.13,2,0,10.59,3,5:00
UFC 132: Cruz vs Faber,Brian Bowles,Takeya Mizugaki,Brian Bowles, Decision - Unanimous ,0,0.33,0.48,0.51,0.0,0.58,0.41,0.0,1.0,0,0,6.09,0,0.15,0.71,0.0,0.28,0.92,0.07,0.0,0.0,0,0,0.24,3,5:00
UFC 132: Cruz vs Faber,George Sotiropoulos,Rafael Dos Anjos,Rafael Dos Anjos, KO/TKO ,0,0.08,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,0.2,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0,0,0.03,1,0:59
UFC 132: Cruz vs Faber,Melvin Guillard,Shane Roller,Melvin Guillard, KO/TKO ,2,0.4,0.64,0.17,0.17,0.64,0.11,0.23,0.0,0,0,0.06,0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,2:12
UFC 132: Cruz vs Faber,Carlos Condit,Dong Hyun Kim,Carlos Condit, KO/TKO ,1,0.38,0.87,0.0,0.12,0.37,0.0,0.62,0.0,1,1,0.09,0,0.16,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.14,1,2:58
UFC 132: Cruz vs Faber,Tito Ortiz,Ryan Bader,Tito Ortiz, Submission ,1,0.37,0.66,0.16,0.16,0.83,0.0,0.16,0.0,1,0,0.06,0,0.19,0.25,0.0,0.75,1.0,0.0,0.0,0.0,0,0,0.09,1,1:56
UFC 132: Cruz vs Faber,Dennis Siver,Matt Wiman,Dennis Siver, Decision - Unanimous ,0,0.27,0.45,0.16,0.38,0.9,0.09,0.0,1.0,0,0,1.28,0,0.35,0.69,0.03,0.26,0.5,0.03,0.46,0.31,2,0,7.34,3,5:00
UFC 132: Cruz vs Faber,Wanderlei Silva,Chris Leben,Chris Leben, KO/TKO ,0,0.37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,0.9,0.77,0.0,0.22,0.33,0.22,0.44,0.0,0,0,0.02,1,0:27
UFC 132: Cruz vs Faber,Dominick Cruz,Urijah Faber,Dominick Cruz, Decision - Unanimous ,0,0.37,0.55,0.3,0.14,0.91,0.08,0.0,0.3,0,1,2.17,0,0.29,0.62,0.24,0.14,0.72,0.28,0.0,0.2,0,0,0.45,5,5:00
UFC Live: Kongo vs Barry,Ricardo Lamas,Matt Grice,Ricardo Lamas, KO/TKO ,1,0.5,0.56,0.06,0.37,0.75,0.18,0.06,0.33,0,0,1.49,0,0.2,0.66,0.16,0.16,1.0,0.0,0.0,0.0,0,0,0.0,1,4:41
UFC Live: Kongo vs Barry,Nik Lentz,Charles Oliveira,, Overturned ,0,0.42,0.64,0.07,0.28,0.85,0.0,0.14,0.28,2,0,2.22,1,0.52,0.74,0.19,0.06,0.35,0.38,0.25,0.5,3,2,2.16,2,1:48
UFC Live: Kongo vs Barry,Daniel Roberts,Rich Attonito,Rich Attonito, Decision - Unanimous ,0,0.34,0.39,0.47,0.13,0.78,0.21,0.0,0.14,1,0,1.19,1,0.65,0.6,0.22,0.16,0.43,0.09,0.46,0.5,0,1,5.44,3,5:00
UFC Live: Kongo vs Barry,Joe Lauzon,Curt Warburton,Joe Lauzon, Submission ,1,0.36,0.91,0.08,0.0,0.41,0.0,0.58,0.0,1,0,0.27,0,0.21,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1:58
UFC Live: Kongo vs Barry,Joe Stevenson,Javier Vazquez,Javier Vazquez, Decision - Unanimous ,0,0.35,0.66,0.22,0.11,1.0,0.0,0.0,0.0,1,0,1.21,0,0.38,0.87,0.12,0.0,0.9,0.01,0.08,0.6,1,0,4.14,3,5:00
UFC Live: Kongo vs Barry,Tyson Griffin,Manvel Gamburyan,Tyson Griffin, Decision - Unanimous ,0,0.53,0.32,0.25,0.41,0.64,0.31,0.04,0.0,0,0,3.48,0,0.45,0.53,0.25,0.21,0.65,0.28,0.06,0.16,0,0,2.38,3,5:00
UFC Live: Kongo vs Barry,Christian Morecraft,Matt Mitrione,Matt Mitrione, KO/TKO ,0,0.18,0.7,0.05,0.23,0.94,0.05,0.0,0.66,0,1,1.49,3,0.46,0.67,0.02,0.29,0.89,0.05,0.05,0.0,0,0,0.53,2,4:28
UFC Live: Kongo vs Barry,Matt Brown,John Howard,Matt Brown, Decision - Unanimous ,0,0.45,0.68,0.18,0.13,0.78,0.13,0.07,0.75,3,0,3.34,0,0.57,0.15,0.1,0.75,0.85,0.05,0.1,0.45,0,1,6.4,3,5:00
UFC Live: Kongo vs Barry,Charlie Brenneman,Rick Story,Charlie Brenneman, Decision - Unanimous ,0,0.42,0.81,0.09,0.09,0.27,0.27,0.45,0.62,0,1,9.42,0,0.36,0.52,0.35,0.11,0.41,0.29,0.29,0.5,4,0,2.47,3,5:00
UFC Live: Kongo vs Barry,Cheick Kongo,Pat Barry,Cheick Kongo, KO/TKO ,1,0.62,0.5,0.0,0.5,0.8,0.0,0.2,0.0,0,0,0.01,2,0.5,0.75,0.0,0.25,0.5,0.0,0.5,0.0,0,0,0.09,1,2:39
UFC 131: Dos Santos vs Carwin,Joey Beltran,Aaron Rosa,Joey Beltran, KO/TKO ,0,0.46,0.6,0.18,0.21,0.67,0.25,0.07,0.25,0,0,5.2,0,0.4,0.76,0.17,0.05,0.84,0.15,0.0,0.0,0,0,0.08,3,1:26
UFC 131: Dos Santos vs Carwin,Dustin Poirier,Jason Young,Dustin Poirier, Decision - Unanimous ,0,0.52,0.72,0.07,0.19,0.9,0.09,0.0,0.55,0,0,4.4,0,0.35,0.42,0.28,0.29,0.77,0.14,0.08,0.0,0,0,0.51,3,5:00
UFC 131: Dos Santos vs Carwin,Nick Ring,James Head,Nick Ring, Submission ,0,0.59,0.53,0.17,0.29,0.51,0.08,0.39,1.0,1,0,8.59,1,0.53,0.7,0.26,0.03,0.7,0.26,0.03,0.0,0,0,0.23,3,3:33
UFC 131: Dos Santos vs Carwin,Mike Massenzio,Krzysztof Soszynski,Krzysztof Soszynski, Decision - Unanimous ,0,0.43,0.64,0.11,0.23,0.94,0.05,0.0,0.11,0,0,3.43,0,0.52,0.27,0.65,0.07,0.33,0.09,0.57,0.0,0,0,5.28,3,5:00
UFC 131: Dos Santos vs Carwin,Jesse Bongfeldt,Chris Weidman,Chris Weidman, Submission ,0,0.41,0.2,0.6,0.2,0.4,0.6,0.0,0.0,0,0,0.0,0,0.41,0.71,0.14,0.14,0.14,0.28,0.57,1.0,1,0,3.45,1,4:54
UFC 131: Dos Santos vs Carwin,Yves Edwards,Sam Stout,Sam Stout, KO/TKO ,0,0.43,0.57,0.28,0.14,1.0,0.0,0.0,0.5,0,0,1.15,1,0.24,0.38,0.38,0.23,1.0,0.0,0.0,0.0,0,0,0.02,1,3:52
UFC 131: Dos Santos vs Carwin,Vagner Rocha,Donald Cerrone,Donald Cerrone, Decision - Unanimous ,0,0.43,0.67,0.1,0.21,0.95,0.02,0.02,0.14,0,0,0.56,0,0.59,0.29,0.12,0.58,0.96,0.02,0.01,0.0,0,0,0.4,3,5:00
UFC 131: Dos Santos vs Carwin,Dave Herman,Jon Olav Einemo,Dave Herman, KO/TKO ,1,0.57,0.6,0.2,0.2,0.49,0.23,0.27,1.0,0,0,0.44,0,0.48,0.82,0.11,0.05,0.67,0.32,0.0,0.25,0,0,1.54,2,3:19
UFC 131: Dos Santos vs Carwin,Mark Munoz,Demian Maia,Mark Munoz, Decision - Unanimous ,0,0.54,0.43,0.27,0.29,0.4,0.06,0.52,0.42,1,0,5.22,0,0.41,0.59,0.25,0.15,0.62,0.37,0.0,0.0,2,0,1.53,3,5:00
UFC 131: Dos Santos vs Carwin,Kenny Florian,Diego Nunes,Kenny Florian, Decision - Unanimous ,0,0.37,0.66,0.21,0.11,0.47,0.14,0.38,0.44,1,0,4.52,1,0.29,0.45,0.32,0.22,0.61,0.25,0.12,1.0,0,0,2.18,3,5:00
UFC 131: Dos Santos vs Carwin,Shane Carwin,Junior Dos Santos,Junior Dos Santos, Decision - Unanimous ,0,0.23,0.85,0.0,0.15,1.0,0.0,0.0,0.33,0,0,0.56,1,0.46,0.82,0.11,0.05,0.76,0.02,0.21,1.0,0,0,0.44,3,5:00
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,Scott Jorgensen,Ken Stone,Scott Jorgensen, KO/TKO ,0,0.53,0.8,0.13,0.06,0.53,0.13,0.33,1.0,0,0,1.09,0,0.42,0.55,0.27,0.16,0.88,0.11,0.0,0.0,0,0,0.21,1,4:01
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,Clay Harvison,Justin Edwards,Clay Harvison, Decision - Split ,0,0.52,0.59,0.38,0.01,0.42,0.38,0.19,1.0,2,1,3.5,0,0.46,0.61,0.23,0.14,0.64,0.33,0.02,0.35,0,0,6.53,3,5:00
