draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,167.64,,Michel Prazeres,170.18,,2.38,0.47,0.6,0.36,2.51,0.47,77.11,
,185.42,,Carlos Prates,198.12,,4.39,0.57,0.0,1.0,4.6,0.91,77.11,
,180.34,,Carlo Prater,182.88,,2.03,0.47,1.7,0.09,4.07,0.57,70.31,
,200.66,,Ricardo Prasel,198.12,,2.21,0.57,0.0,0.0,7.83,0.0,107.95,
,185.42,,Trevor Prangley,190.5,,2.59,0.6,1.0,0.55,2.02,0.74,83.91,
,177.8,,Francisco Prado,175.26,,4.38,0.41,0.3,0.09,5.32,0.25,77.11,
,182.88,,Wagner Prado,187.96,,1.72,0.4,0.0,0.0,3.06,0.22,92.99,
,190.5,,Marcin Prachnio,187.96,,5.57,0.54,0.0,0.2,3.24,0.53,92.99,
,182.88,,Devin Powell,185.42,,2.88,0.41,0.6,0.0,3.67,0.0,70.31,
,187.96,,Ruan Potts,190.5,,0.85,0.37,2.3,0.16,5.92,0.33,112.04,
,187.96,,Dylan Potter,195.58,,3.1,0.48,1.1,0.0,5.78,0.33,102.06,
,182.88,,Callan Potter,182.88,,3.18,0.5,0.0,0.66,4.72,1.0,77.11,
,190.5,,Ihor Potieria,190.5,,4.44,0.5,0.0,0.18,4.96,0.66,83.91,
,182.88,,Parker Porter,190.5,,6.55,0.5,0.5,0.26,6.32,0.66,120.2,
,,,Felipe Portela,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,187.96,,Alexander Poppeck,,,4.01,0.57,0.0,0.0,9.81,0.0,92.99,
,170.18,,Grigory Popov,172.72,,3.63,0.37,0.0,0.0,4.2,0.45,61.23,
,182.88,,Santiago Ponzinibbio,185.42,,4.8,0.41,0.0,0.32,4.61,0.71,77.11,
,193.04,,Mike Polchlopek,,,2.0,0.38,0.0,0.0,1.33,0.0,129.27,
,,,Brandon Polcare,,,0.43,0.5,0.0,0.0,0.0,0.0,56.7,
,157.48,,Julia Polastri,160.02,,5.57,0.54,0.6,0.8,5.31,0.61,52.16,
,177.8,,John Polakowski,,,2.6,0.26,0.7,0.0,2.83,0.87,70.31,
,182.88,,Igor Pokrajac,187.96,,2.25,0.45,0.2,0.29,4.26,0.51,92.99,
,175.26,,Dustin Poirier,182.88,,5.3,0.5,1.3,0.36,4.33,0.64,70.31,
,172.72,,Ross Pointon,,,2.62,0.23,0.0,1.0,2.77,0.0,77.11,
,190.5,,Jamal Pogues,195.58,,3.57,0.46,0.0,0.46,3.97,0.7,92.99,
,190.5,,Dmitry Poberezhets,,,0.0,0.0,0.0,0.0,0.0,0.0,107.5,
,177.8,,Maki Pitolo,190.5,,4.1,0.44,0.8,0.52,3.93,0.5,83.91,
,170.18,,Gaetano Pirrello,165.1,,0.99,0.55,0.0,0.0,2.44,0.3,61.23,
,195.58,,Mario Pinto,200.66,,3.67,0.71,0.0,0.0,5.29,1.0,120.2,
,157.48,,Luana Pinheiro,157.48,,3.42,0.4,0.2,0.33,4.03,0.69,52.16,
,167.64,,Pingyuan Liu,182.88,,2.36,0.33,1.0,0.2,2.99,0.56,61.23,
,177.8,,Jesus Pinedo,,,3.23,0.38,0.0,1.0,4.37,1.0,70.31,
,170.18,,Daniel Pineda,175.26,,2.85,0.49,1.5,0.24,3.26,0.54,65.77,
,177.8,,Paddy Pimblett,185.42,,4.94,0.53,2.1,0.25,3.75,0.52,70.31,
,182.88,,Domingo Pilarte,185.42,,1.31,0.47,0.8,0.42,2.96,0.54,61.23,
,182.88,,Sean Pierson,193.04,,3.84,0.39,0.4,0.18,3.73,0.66,77.11,
,180.34,,Jonathan Piersma,185.42,,0.4,0.42,3.0,0.0,0.87,0.36,77.11,
,185.42,,Joao Pierini,,,0.76,0.14,0.0,0.0,4.56,0.0,70.31,
,172.72,,Mike Pierce,180.34,,2.62,0.42,0.2,0.42,2.36,0.71,77.11,
,177.8,,Nick Piedmont,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,182.88,,Oskar Piechota,193.04,,3.3,0.52,1.5,0.4,3.93,0.38,83.91,
,,,Fabiola Pidroni,,,0.0,0.0,0.0,0.0,0.0,0.0,52.16,
,187.96,,Jamie Pickett,203.2,,2.65,0.47,0.1,0.4,3.62,0.67,83.91,
,167.64,,Brad Pickett,172.72,,3.02,0.31,0.4,0.44,4.63,0.58,61.23,
,177.8,,Vinc Pichel,182.88,,3.62,0.46,0.2,0.54,3.05,0.25,70.31,
,180.34,,Adam Piccolotti,,,4.61,0.5,3.0,0.6,2.83,1.0,70.31,
,167.64,,Nick Piccininni,167.64,,3.2,0.43,0.0,0.44,6.03,1.0,56.7,
,177.8,,Nick Pica,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,175.26,,Mario Piazzon,185.42,,1.35,0.73,0.0,0.5,1.16,0.5,120.2,
,172.72,,Kyler Phillips,182.88,,5.28,0.44,0.4,0.51,3.47,0.75,61.23,
,180.34,,John Phillips,190.5,,1.72,0.34,0.0,0.0,4.03,0.07,83.91,
,167.64,,Elizabeth Phillips,165.1,,2.6,0.33,0.2,0.25,3.07,0.53,61.23,
,175.26,,Aaron Phillips,180.34,,1.51,0.53,0.6,0.5,3.66,0.44,61.23,
,182.88,,Dave Phillips,,,0.0,0.0,10.0,0.0,2.0,0.0,83.91,
,,,Wayne Phillips,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,180.34,,Constantinos Philippou,185.42,,2.19,0.35,0.3,0.42,2.73,0.65,83.91,
,167.64,,Nam Phan,177.8,,4.52,0.37,0.2,0.18,6.55,0.6,61.23,
,177.8,,Cody Pfister,185.42,,1.41,0.25,0.0,0.3,2.8,0.0,70.31,
,,,Dino Pezao,,,0.66,0.3,0.0,0.0,3.28,0.0,92.99,
,175.26,,Forrest Petz,180.34,,2.27,0.29,0.0,1.0,2.2,0.66,77.11,
,167.64,,Sergio Pettis,175.26,,3.88,0.37,0.4,0.4,2.91,0.67,56.7,
,177.8,,Anthony Pettis,182.88,,3.05,0.47,1.1,0.5,3.44,0.6,70.31,
,180.34,,Peter Petties,182.88,,2.61,0.29,0.0,0.0,8.24,0.0,65.77,
,182.88,,Seth Petruzelli,193.04,,2.17,0.41,2.3,0.5,2.08,0.47,92.99,
