name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Art Arciniega,172.72,65.77,,1.53,0.46,2.73,0.0,0.5,1.0
Julio Arce,170.18,65.77,177.8,4.36,0.36,3.05,0.28,0.96,0.3
Viviane Araujo,162.56,56.7,172.72,4.04,0.47,4.87,0.43,0.8,0.7
Igor Araujo,185.42,77.11,195.58,1.52,0.42,2.86,0.15,0.22,0.6
Felipe Arantes,172.72,61.23,185.42,2.37,0.45,2.66,0.47,0.41,0.7
Romie Aram,177.8,77.11,,1.8,0.35,2.83,0.62,0.83,0.0
Kenji Arai,177.8,65.77,,8.79,0.27,10.29,0.0,0.0,0.0
Erik Apple,182.88,77.11,,0.0,0.0,0.54,0.0,0.0,8.1
Josh Appelt,177.8,115.67,,1.35,0.4,11.5,0.0,0.33,0.0
Aoriqileng,170.18,61.23,175.26,4.65,0.49,5.46,0.46,0.58,0.0
Shinya Aoki,180.34,69.85,,0.97,0.58,1.25,0.41,0.6,4.0
Shinsho Anzai,170.18,77.11,177.8,3.23,0.58,3.75,0.16,0.75,0.0
Azunna Anyanwu,185.42,113.85,,2.47,0.42,2.47,1.0,0.0,0.0
Vanilto Antunes,182.88,77.11,182.88,5.49,0.48,14.27,0.0,0.0,0.0
Angelo Antonio,,92.99,,1.09,0.5,7.64,0.0,0.0,0.0
Adam Antolin,165.1,56.7,160.02,5.73,0.52,5.0,0.0,1.0,0.0
Gadzhimurad Antigulov,180.34,92.99,177.8,2.08,0.55,4.21,0.36,0.0,1.4
Magomed Ankalaev,190.5,92.99,190.5,3.66,0.52,2.46,0.22,0.87,0.0
Yoji Anjo,180.34,92.99,,0.0,0.0,3.13,0.0,0.0,0.0
Chad Anheliger,167.64,61.23,162.56,3.11,0.46,2.76,0.3,0.38,0.5
Collin Anglin,175.26,65.77,180.34,4.59,0.48,5.54,0.66,1.0,0.0
Julius Anglickas,190.5,92.99,,4.62,0.78,1.86,0.5,0.6,1.1
Angga,170.18,65.77,172.72,3.56,0.38,3.77,0.0,0.33,0.0
Reese Andy,182.88,92.99,,2.87,0.5,3.5,0.2,0.4,0.0
Dylan Andrews,185.42,83.91,187.96,2.21,0.5,2.72,0.5,0.57,0.4
Fellipe Andrew,,,,0.0,0.0,0.0,0.0,0.0,0.0
Juan Andres Luna,170.18,56.7,182.88,3.27,0.31,3.0,0.0,0.0,0.0
Jermaine Andre,170.18,90.72,,0.0,0.0,0.0,0.0,0.0,0.0
Viscardi Andrade,180.34,77.11,190.5,3.26,0.42,2.77,0.5,0.66,0.3
Jessica Andrade,154.94,56.7,157.48,6.44,0.5,5.51,0.54,0.72,0.3
Alex Andrade,180.34,90.72,,0.2,0.36,2.6,0.0,0.25,0.8
Tatsuya Ando,162.56,65.77,172.72,0.93,0.19,4.93,0.0,0.0,0.0
