draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,190.5,,Andrei Arlovski,195.58,,3.82,0.45,0.2,0.35,3.22,0.76,108.86,
,187.96,,Hashem Arkhagha,190.5,,1.84,0.44,0.0,0.0,8.97,0.5,83.91,
,,,Reza Arianto,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,170.18,,Dan Argueta,172.72,,2.48,0.43,1.4,0.35,3.44,0.55,61.23,
,,,Gabriel Arges,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,,,Tristan Arenal,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,160.02,,Alice Ardelean,157.48,,4.97,0.45,0.0,0.4,4.97,1.0,52.16,
,172.72,,Art Arciniega,,,1.53,0.46,1.0,0.0,2.73,0.5,65.77,
,170.18,,Julio Arce,177.8,,4.36,0.36,0.3,0.28,3.05,0.96,65.77,
,162.56,,Viviane Araujo,172.72,,4.04,0.47,0.7,0.43,4.87,0.8,56.7,
,185.42,,Igor Araujo,195.58,,1.52,0.42,0.6,0.15,2.86,0.22,77.11,
,172.72,,Felipe Arantes,185.42,,2.37,0.45,0.7,0.47,2.66,0.41,61.23,
,177.8,,Romie Aram,,,1.8,0.35,0.0,0.62,2.83,0.83,77.11,
,177.8,,Kenji Arai,,,8.79,0.27,0.0,0.0,10.29,0.0,65.77,
,182.88,,Erik Apple,,,0.0,0.0,8.1,0.0,0.54,0.0,77.11,
,177.8,,Josh Appelt,,,1.35,0.4,0.0,0.0,11.5,0.33,115.67,
,170.18,,Aoriqileng,175.26,,4.65,0.49,0.0,0.46,5.46,0.58,61.23,
,180.34,,Shinya Aoki,,,0.97,0.58,4.0,0.41,1.25,0.6,69.85,
,170.18,,Shinsho Anzai,177.8,,3.23,0.58,0.0,0.16,3.75,0.75,77.11,
,185.42,,Azunna Anyanwu,,,2.47,0.42,0.0,1.0,2.47,0.0,113.85,
,182.88,,Vanilto Antunes,182.88,,5.49,0.48,0.0,0.0,14.27,0.0,77.11,
,,,Angelo Antonio,,,1.09,0.5,0.0,0.0,7.64,0.0,92.99,
